x,y,z,visible_cameras,nx,ny,nz
-21.4676,-13.5267,77.0658,6.0000,0.2784,-0.0006,-0.9605
-14.3626,-18.3334,-78.7002,6.0000,0.1806,0.0011,0.9836
72.6337,-34.9325,33.5313,7.0000,-0.9143,-0.0010,-0.4049
-75.1135,35.6177,27.5310,6.0000,0.9518,-0.0002,-0.3066
78.6561,-28.3764,-14.6019,6.0000,-0.9837,0.0001,0.1798
-78.8443,-22.0514,13.5492,6.0000,0.9780,0.0004,-0.2087
72.8824,-10.7360,32.9873,7.0000,-0.9142,0.0011,-0.4052
78.3300,23.4447,-16.2608,6.0000,-0.9831,-0.0013,0.1828
10.0756,27.9624,-79.3630,7.0000,-0.1118,-0.0004,0.9937
-69.4182,-37.0617,39.7633,7.0000,0.8632,-0.0012,-0.5049
77.6648,43.1920,19.1879,6.0000,-0.9778,0.0005,-0.2096
36.6943,29.0200,-71.0882,7.0000,-0.5060,0.0006,0.8625
-79.8085,12.1852,-5.5316,7.0000,0.9965,0.0009,0.0835
72.6325,47.2629,-33.5340,7.0000,-0.9262,-0.0007,0.3771
68.1257,28.0739,-41.9392,7.0000,-0.8317,-0.0003,0.5552
79.4952,-20.5709,8.9728,7.0000,-0.9937,-0.0009,-0.1120
-66.5434,-29.3723,-44.4069,7.0000,0.8209,-0.0004,0.5711
41.1002,-0.2761,-68.6351,7.0000,-0.5044,-0.0014,0.8635
36.9686,-5.9059,70.9459,7.0000,-0.5037,-0.0015,-0.8639
-58.7573,7.7288,54.2916,6.0000,0.7365,-0.0006,-0.6764
-48.7705,-41.6892,63.4148,7.0000,0.5741,0.0017,-0.8188
64.2402,12.0839,47.6780,7.0000,-0.7982,-0.0015,-0.6023
-60.3031,14.1751,-52.5694,6.0000,0.7471,-0.0001,0.6648
79.9994,-6.8640,0.3000,7.0000,-0.9999,0.0007,-0.0146
-38.5341,29.7580,-70.1079,7.0000,0.4759,-0.0002,0.8795
-56.1651,-44.7288,56.9691,6.0000,0.6890,-0.0014,-0.7248
-67.1755,-41.5897,43.4449,7.0000,0.8632,-0.0012,-0.5049
39.7163,4.8105,69.4450,7.0000,-0.5030,-0.0013,-0.8643
-38.1631,-21.2524,-70.3106,7.0000,0.4761,-0.0002,0.8794
79.1050,-20.3645,11.9333,7.0000,-0.9937,-0.0009,-0.1120
0.4557,-28.6787,79.9987,7.0000,-0.0129,0.0007,-0.9999
-24.4582,-25.3437,-76.1695,6.0000,0.2790,-0.0009,0.9603
79.9857,-11.4225,1.5138,7.0000,-0.9999,0.0007,-0.0146
-62.3055,52.0283,-50.1800,6.0000,0.7467,0.0004,0.6652
-75.7875,23.2327,-25.6175,6.0000,0.9609,-0.0003,0.2768
-72.7122,-36.1799,-33.3608,7.0000,0.9255,0.0003,0.3787
-13.6946,-30.4107,78.8192,6.0000,0.1817,-0.0006,-0.9834
79.0540,-30.3503,12.2663,7.0000,-0.9936,0.0006,-0.1130
79.7190,-28.8705,-6.6990,7.0000,-0.9965,-0.0006,0.0837
62.2913,20.6538,50.1976,7.0000,-0.7983,-0.0004,-0.6023
6.0232,-36.7841,79.7729,7.0000,-0.1124,0.0011,-0.9937
-40.5153,25.3881,68.9820,7.0000,0.4759,-0.0008,-0.8795
-19.7037,16.8515,77.5356,6.0000,0.2781,-0.0004,-0.9605
-27.6901,17.8258,75.0551,7.0000,0.3775,-0.0011,-0.9260
41.3229,28.2350,68.5012,7.0000,-0.5029,-0.0009,-0.8644
42.9866,-9.9985,-67.4696,7.0000,-0.5036,0.0019,0.8639
52.1667,-49.1423,60.6517,6.0000,-0.6632,0.0007,-0.7484
23.5892,46.9314,76.4431,6.0000,-0.3062,0.0016,-0.9520
-40.7347,-12.3042,68.8526,7.0000,0.4763,0.0003,-0.8793
-77.8195,-8.4808,-18.5504,6.0000,0.9603,-0.0001,0.2791
5.0189,-19.5797,-79.8424,7.0000,-0.1105,0.0006,0.9939
31.3335,36.9513,-73.6085,7.0000,-0.4056,0.0009,0.9140
18.9791,-49.5121,77.7161,6.0000,-0.2102,-0.0002,-0.9777
-21.7534,40.9784,-76.9856,6.0000,0.2801,0.0018,0.9600
-61.0082,-42.6919,51.7494,6.0000,0.7359,0.0006,-0.6771
-79.9125,20.6306,-3.7407,7.0000,0.9965,0.0024,0.0838
43.1416,-48.9818,67.3706,7.0000,-0.5024,-0.0003,-0.8646
15.3081,25.1483,-78.5217,6.0000,-0.2093,0.0002,0.9779
-77.1960,-33.2024,-20.9948,6.0000,0.9606,0.0012,0.2779
31.2799,27.2738,-73.6313,7.0000,-0.4047,-0.0017,0.9145
66.4457,50.9738,44.5531,7.0000,-0.7969,0.0012,-0.6041
